iris_code,rf_score
955850113,33.9
772850101,34.2
940810110,73.8
773050104,62.4
772880101,66.1
772880103,36.9
955850114,34.1
920510103,42.9
770530102,67.7
772850102,57.0
772850203,51.5
772850204,71.0
772840401,15.7
786400103,30.5
930060116,35.5
751124510,81.0
751124511,71.4
751124512,87.7
751124513,88.6
773500501,39.6
780920104,55.9
784980104,63.5
955630102,26.6
783610115,34.1
783620101,57.9
751020803,89.2
772850202,68.1
940810113,72.0
751103904,91.6
751103905,83.3
751103906,92.8
785510106,56.1
912350102,8.2
773330102,8.3
751030903,93.3
785170109,47.8
952520104,42.1
912000103,51.5
773070103,36.8
952800108,36.5
783610112,35.3
783610114,32.4
940760101,80.2
751135030,72.8
783620103,66.0
783620104,29.4
784980113,44.9
784980114,42.7
784980115,53.2
751072602,41.1
751072603,81.8
751072604,68.6
784980116,34.1
751093605,83.2
930790105,52.9
751176704,61.8
784980117,29.6
785860501,59.1
785170103,28.0
940440101,37.3
940440102,51.5
751072704,80.3
955980103,67.1
940440103,19.5
940440104,55.2
940440105,50.1
940460301,47.5
940480102,56.0
751072705,74.8
955980104,68.4
940480103,32.4
940520102,64.0
785860102,51.9
785860202,45.7
751124610,63.0
785860203,39.4
785860301,62.4
785860302,41.5
785860401,49.9
920510104,57.3
785860502,45.0
930460106,37.0
930460107,31.0
930460108,24.0
930460109,34.9
930460110,54.8
930460111,58.3
751072706,43.8
771080702,81.5
930460112,31.1
930460113,47.2
930460115,22.1
930460117,38.9
930460118,48.9
930470103,11.4
751166125,56.1
751166126,74.7
751166127,84.2
751166128,80.0
751166129,81.1
751166130,74.9
785860601,33.9
785860701,18.0
785860702,48.2
785860703,38.8
751072802,70.2
751072803,78.7
751072804,73.5
773070101,61.2
785861101,36.6
785861201,38.1
913450103,52.8
953940101,60.9
954280202,30.7
953510102,32.2
773160103,69.0
783540102,28.0
783610104,15.6
955630104,56.2
774640101,48.7
751197523,87.8
914340104,29.2
920240501,79.0
955630105,37.3
920630101,40.5
930480401,87.6
751208024,94.4
930480403,38.4
930480404,85.5
751072806,44.5
930480502,52.0
930480601,83.4
930050302,39.4
920510202,88.9
930480602,82.9
751072807,50.8
751072808,72.4
914210109,33.2
920240503,45.1
914320101,79.6
914320104,58.9
773260101,27.3
914340108,44.0
952680109,26.1
751124618,93.3
773270102,30.9
930480603,74.7
930480604,71.9
930480701,73.1
930480704,76.5
930480801,44.1
770580103,32.8
773270103,45.0
930480802,77.6
930480803,64.1
930480901,77.4
920500501,45.1
772840301,8.8
920500502,63.1
920500503,74.2
920500504,72.0
920500505,70.1
920500508,54.0
920500509,59.8
912010106,39.9
920500510,57.4
930481001,57.0
786460303,69.4
786460304,71.4
786460305,51.0
771860107,78.3
786460306,72.2
786460308,55.0
786460402,80.9
773070104,67.0
786460404,80.1
786460405,65.4
786460406,70.6
786460501,78.0
786460504,74.0
786460505,29.8
786460506,69.2
786460601,78.4
773370202,38.7
786460605,70.3
786460606,65.2
786500102,64.2
940520104,77.9
940520105,64.1
940520106,70.8
940520107,69.1
940520108,70.1
940520110,68.2
940730110,63.0
916570104,36.2
780050103,45.1
930481002,52.0
930481003,65.4
930481101,59.4
930481102,32.5
930481103,54.1
930481104,39.4
751166209,82.7
920490101,86.8
930490101,33.7
751124701,77.6
930490102,54.7
930490103,34.2
930490106,33.5
930490107,39.7
920440126,90.1
751166210,76.7
751166211,88.8
751166212,79.8
930490108,58.2
930500102,51.5
940540105,76.6
940540106,26.2
940540108,41.5
940540109,59.9
920500802,63.5
920500803,60.9
920500804,38.2
751134901,96.0
930510503,61.2
930530101,60.8
930530103,24.2
930530106,44.4
930530107,73.1
930530108,46.9
930530109,26.6
930530110,54.4
930530111,26.7
751135007,84.3
751135008,58.0
930530112,70.0
930530113,50.4
930100203,25.4
930530114,49.4
930550101,43.5
940550105,33.7
955850115,67.2
940580101,62.9
751135018,88.4
751124616,53.6
940580102,38.2
751135024,89.2
940580105,62.2
940580106,62.9
940580107,61.0
940580109,54.9
940580110,67.8
751104003,96.3
930590106,31.0
930590107,31.5
751135101,80.8
955850118,13.2
930590108,20.8
930610102,63.6
940590107,31.8
940600102,39.1
751135109,86.3
915210107,34.2
751114301,96.0
940670101,85.9
940670104,81.9
940670105,84.1
751197503,92.6
940670107,86.2
940670108,48.9
940670109,52.8
940680303,64.4
940680304,69.3
930620102,52.3
930290302,73.4
751135123,83.6
930620103,47.0
930620104,58.0
930620105,15.6
930620106,55.0
930640110,49.7
930630103,81.7
930630107,74.6
930630108,74.0
930630109,54.7
930630110,75.4
930630111,78.4
771220202,46.8
930640103,48.0
930640104,47.8
751145402,88.5
930640105,63.3
930640106,66.5
930640107,41.2
930640108,28.7
930700116,88.2
781380102,22.3
781380103,23.9
781380105,52.5
770370101,67.9
781460113,54.8
781720115,34.6
751145604,96.6
952030101,50.9
781580101,35.3
781580102,39.8
781580103,54.1
781720114,39.2
940800101,76.0
770370102,69.5
773900202,23.3
911220103,71.7
911910104,43.4
751145624,97.8
781720111,42.3
751155702,89.9
920120206,84.6
956370103,16.4
781720113,52.4
751155706,59.7
782420104,29.5
940680802,73.8
940680803,62.8
940690101,69.1
940690103,53.1
751155714,81.5
751155715,90.2
920630802,65.9
783720104,22.3
930640116,52.7
930640117,50.9
930660101,50.6
930660102,72.4
930660201,73.7
774070104,42.9
940040105,62.5
940810201,42.0
940810202,46.2
940810203,63.2
940810204,64.6
940810205,45.9
940810207,64.8
940810209,41.0
940810210,62.6
940810212,66.8
940810303,49.3
751083201,94.4
916450106,29.0
916450107,41.3
751155908,80.2
751155909,73.4
781580104,78.2
751083203,93.7
916920106,24.3
955980105,70.8
781580105,63.9
781580106,57.9
781580110,82.1
781580111,64.4
781580112,64.0
751083205,97.8
751083206,98.3
930660801,69.3
930660802,69.8
930660901,74.8
751156005,81.2
930660902,77.3
920120304,78.7
751156009,73.7
930660908,75.3
930661001,71.7
751156010,80.0
930661002,80.7
783220104,42.7
930661004,66.5
930700107,49.0
930700108,76.3
930700109,85.1
781900101,41.4
940810102,64.7
940810105,46.8
781900104,39.7
751166104,77.8
930290502,56.4
751166105,74.9
751166106,85.9
930700117,86.6
930710101,9.7
930710102,9.5
930710103,59.1
930710104,20.0
930710109,35.3
930710110,64.8
920630401,25.1
915890102,23.9
751166113,79.6
751166119,75.3
920350111,75.2
920630504,18.9
780150105,65.2
780150106,32.2
920640108,63.6
920640109,69.0
920640110,65.6
920640111,59.7
920640112,79.3
920710102,52.0
751145516,89.6
751145603,83.0
940690104,54.5
930480402,41.1
751166207,40.5
951270122,60.1
920120702,83.8
940710102,27.9
940710103,28.6
940710104,40.1
920710103,24.9
920710104,55.3
920710105,46.7
920710106,50.7
920710107,51.2
920720101,53.9
930720105,18.2
920730109,60.5
920730111,78.6
920730113,72.6
920730114,75.3
920730116,83.2
751166220,84.8
920750101,55.3
920750102,62.4
930770111,52.3
751166308,79.4
751166309,83.0
920510406,74.9
954280304,24.0
751166403,81.0
786400105,36.6
786400106,22.1
751166405,84.5
751166407,79.9
786420105,36.3
786440101,28.6
751166409,69.1
751176501,80.6
751176502,79.8
751176503,76.1
751176504,76.0
751176505,83.5
751176506,37.3
751176507,81.4
751176508,86.6
930640109,59.6
751176511,87.0
751176514,78.0
751176515,79.5
930660905,59.8
910210101,46.5
951970105,45.1
751155730,92.1
751155731,96.0
920750105,40.7
920750106,57.9
952290104,61.4
920750107,72.4
751176611,94.7
951760102,77.3
930060106,86.7
785510103,48.0
751197614,95.2
785510104,57.8
785510105,68.3
785510107,64.8
785510108,36.5
930780110,22.1
751176701,94.4
785510110,32.7
785510113,48.5
785510114,59.8
785510115,72.6
751176705,87.1
751176706,97.2
785510118,36.7
785510119,44.4
785510201,56.3
751176802,95.8
751176806,94.0
913450101,63.2
940170201,64.6
913450104,65.2
930290802,62.0
913450105,35.4
770790102,43.1
913450106,52.2
930720107,49.7
930720110,45.7
930720111,17.0
751176816,92.6
940180103,79.2
940180104,76.4
751176817,86.8
773900201,11.7
930720112,53.9
930720113,45.3
930720114,22.1
930720115,21.6
751166122,79.6
751166123,76.4
751166124,75.2
930470102,9.7
781580201,63.2
751186904,94.0
751186906,87.6
751186907,96.2
751186908,90.3
751186909,54.4
912010102,31.6
751186910,91.1
930470101,16.1
912150104,63.8
751186911,61.8
751186914,95.3
751186915,88.6
751186916,94.5
781600101,39.1
952770403,31.3
930730303,28.9
930730304,21.3
930730401,35.7
751093501,94.2
930730402,45.3
930730403,51.9
930730501,22.5
930730502,28.6
751187001,95.8
930780104,65.0
751093502,97.2
956070110,48.0
751166219,65.8
920500401,63.1
930770110,54.5
930770112,62.7
751187010,76.4
930780102,60.1
920500703,63.6
930780105,17.1
930780106,38.6
930780107,45.8
930780109,9.9
930780111,47.4
751187024,91.4
930780112,8.3
930510403,25.4
930780113,29.0
930780114,43.5
930780115,10.8
930780116,67.4
930510204,57.2
930790102,72.3
930790103,72.0
940030108,58.2
940030109,69.2
751187205,92.9
751187206,94.0
940040101,20.2
770530101,70.9
940040102,10.8
940040103,21.6
940040104,31.8
940760117,51.0
940760118,52.2
940760119,50.3
751197306,94.8
751197307,87.6
751197308,89.0
913770114,78.7
751197309,90.9
956070111,36.8
930720103,13.7
751093601,93.8
751197314,93.1
751197315,89.0
940580108,33.2
913860101,58.5
912720106,52.8
912720107,33.5
912720108,29.8
956070112,33.6
930660502,72.9
940590106,41.8
751197403,87.8
913450107,64.6
