iris_code,nom_iris,commune,dept,type_iris,centroid_lon,centroid_lat,sitescore,score_concurrence,score_revenu,score_densite,score_accessibilite,score_potentiel,score_foncier,nb_concurrents_500m,nb_concurrents_1km,nb_concurrents_2km,revenu_median,densite_pop,pop_totale,potentiel_ca,prix_m2_median,prix_m2_moyen,nb_transactions,ca_potentiel_an,ca_potentiel_m2,part_marche_pct,rf_score,score_final
940760116,Mermoz,Villejuif,94,H,2.359794330373598,48.781990105909095,29.0,10.0,27.0,9.0,95.0,13.0,50.0,10,22,51,21459,12361,1928,1466500.0,5193.0,7224.0,424,162974.0,136.0,5.0,44.2,36.6
751145507,Petit Montrouge 7,Paris 14e Arrondissement,75,H,2.32746360478828,48.82653145143389,30.3,10.0,40.0,17.0,95.0,7.0,30.0,45,100,307,31563,23069,1084,824250.0,9294.0,9869.0,1390,104091.0,87.0,5.0,81.1,55.7
920760102,Plateau de Cazes,Vaucresson,92,H,2.1727672476896536,48.84770146096905,41.2,40.0,57.0,5.0,80.0,39.0,50.0,1,9,28,45598,6842,5788,4403000.0,5635.0,6765.0,113,1023106.0,853.0,8.0,41.4,41.3
751072503,Saint-Thomas d'Aquin 3,Paris 7e Arrondissement,75,H,2.321464762201321,48.85187158461819,38.6,10.0,51.0,38.0,95.0,64.0,10.0,26,82,330,40337,51958,9664,7351750.0,14375.0,16305.0,915,1067684.0,890.0,5.0,79.1,58.8
940760120,Petits Ormes,Villejuif,94,H,2.3688548232210795,48.78404851142431,28.4,10.0,39.0,5.0,80.0,10.0,50.0,13,26,64,31015,6485,1491,1134000.0,5193.0,7224.0,424,143208.0,119.0,5.0,59.4,43.9
751114406,Sainte-Marguerite 6,Paris 11e Arrondissement,75,H,2.382181771268242,48.85179106366003,24.3,10.0,31.0,5.0,80.0,4.0,30.0,82,189,507,24285,6816,565,428750.0,9754.0,10240.0,2196,47648.0,40.0,5.0,91.6,58.0
920040707,Argenteuil,Asnières-sur-Seine,92,H,2.276555162459386,48.92546952967962,29.4,10.0,44.0,6.0,80.0,8.0,50.0,12,37,114,35139,8755,1155,878500.0,6334.0,6926.0,1143,127583.0,106.0,5.0,73.6,51.5
751166310,Porte Dauphine 10,Paris 16e Arrondissement,75,H,2.2798004220002595,48.872941072316245,28.1,10.0,36.0,14.0,95.0,19.0,10.0,16,76,201,28482,18547,2893,2199750.0,10932.0,12047.0,2182,277797.0,231.0,5.0,59.8,44.0
940280211,Palais-Charles Péguy,Créteil,94,H,2.4440197702449766,48.78267866422806,27.0,10.0,39.0,2.0,65.0,2.0,70.0,9,19,53,30637,3111,370,280000.0,3934.0,6261.0,666,35360.0,29.0,5.0,36.8,31.9
920230103,Centre Ville 3,Clamart,92,H,2.2685692858686606,48.80205301498523,36.5,10.0,64.0,9.0,95.0,12.0,50.0,7,17,67,51259,11742,1796,1365000.0,6198.0,7238.0,620,198237.0,165.0,5.0,62.8,49.6
920230105,Centre Ville 5,Clamart,92,H,2.27237144423457,48.79875017417712,29.4,10.0,42.0,5.0,80.0,15.0,50.0,9,32,75,33120,6531,2253,1713250.0,6198.0,7238.0,620,216359.0,180.0,5.0,45.8,37.6
920230201,Percy 1,Clamart,92,H,2.2561084338961748,48.81016956326017,29.6,10.0,41.0,5.0,80.0,21.0,50.0,13,29,94,32987,7480,3126,2378250.0,6198.0,7238.0,620,300339.0,250.0,5.0,46.2,37.9
920230202,Percy 2,Clamart,92,H,2.266695094075653,48.80942625956372,27.9,10.0,34.0,5.0,80.0,17.0,50.0,14,22,100,26837,7474,2511,1909250.0,6198.0,7238.0,620,241111.0,201.0,5.0,43.8,35.8
751031204,Sainte-Avoye 4,Paris 3e Arrondissement,75,H,2.3531351546850594,48.86379434302047,23.0,10.0,33.0,7.0,80.0,3.0,10.0,58,167,547,25894,9377,450,341250.0,11800.0,13020.0,661,43095.0,36.0,5.0,94.0,58.5
930660401,Courtille Saussaie Floréal 01,Saint-Denis,93,H,2.383230176268833,48.94109647986305,26.1,20.0,23.0,3.0,65.0,2.0,70.0,2,10,51,18168,4016,325,246750.0,4205.0,6789.0,833,43875.0,37.0,8.0,20.7,23.4
952770402,Centre Ville,Gonesse,95,H,2.443790140825829,48.98624196394678,28.5,10.0,45.0,2.0,65.0,3.0,70.0,4,5,14,35621,2585,403,306250.0,3042.0,3743.0,175,124534.0,104.0,14.0,35.9,32.2
920350108,Souvenir Français,La Garenne-Colombes,92,H,2.24849742060478,48.906094908642615,31.0,10.0,39.0,7.0,95.0,11.0,50.0,20,47,133,31177,10044,1657,1260000.0,6550.0,7283.0,360,159120.0,133.0,5.0,75.7,53.4
